Participant,Case1_on_cols,Case1_off_cols,Case1_confidence,Case1_duration,Case2_on_cols,Case2_off_cols,Case2_confidence,Case2_duration,Case3_on_cols,Case3_off_cols,Case3_confidence,Case3_duration,Case4_on_cols,Case4_off_cols,Case4_confidence,Case4_duration,Case5_on_cols,Case5_off_cols,Case5_confidence,Case5_duration,Case6_on_cols,Case6_off_cols,Case6_confidence,Case6_duration,Group,C++,Vul
Participant 0,"1, 9","2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14",4.0,179.042,"1, 5, 12, 17","2, 3, 4, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23",4.0,200.88,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",2.0,130.28300000000002,"2, 3, 4","1, 5",1.0,278.171,"5, 13","1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29",2.0,137.452,"1, 7, 16, 17, 18, 19, 20, 21, 22","2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 23, 24, 25, 26",4.0,244.299,A,2,3
Participant 1,"1, 9","2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14",5.0,223.388,"1, 15","2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23",3.0,116.09,"8, 9","1, 2, 3, 4, 5, 6, 7, 10, 11",4.0,172.593,"2, 3, 4","1, 5",4.0,74.48700000000001,"1, 8, 9, 10, 11","2, 3, 4, 5, 6, 7, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29",4.0,92.33000000000001,"1, 7, 16, 17, 18, 19, 20, 21, 22","2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 23, 24, 25, 26",4.0,252.332,A,3,2
Participant 2,9,"1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14",2.0,216.58800000000002,"2, 3, 5","1, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23",2.0,159.87399999999997,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",3.0,209.906,"2, 3, 4","1, 5",4.0,234.084,15,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29",4.0,88.98,"5, 7, 16, 17","1, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 18, 19, 20, 21, 22, 23, 24, 25, 26",4.0,186.97999999999996,A,4,3
Participant 3,"1, 6, 7, 9","2, 3, 4, 5, 8, 10, 11, 12, 13, 14",4.0,261.162,"1, 2, 3, 6, 7, 15, 19, 22","4, 5, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 20, 21, 23",4.0,118.51299999999998,"1, 4","2, 3, 5, 6, 7, 8, 9, 10, 11",5.0,256.697,"1, 2, 3, 4",5,4.0,120.544,"1, 8, 9, 10, 11, 15, 18, 20, 21, 22","2, 3, 4, 5, 6, 7, 12, 13, 14, 16, 17, 19, 23, 24, 25, 26, 27, 28, 29",3.0,281.933,"1, 5, 6, 7, 8, 16, 17, 18, 19, 20, 21, 22, 23","2, 3, 4, 9, 10, 11, 12, 13, 14, 15, 24, 25, 26",4.0,238.344,A,2,2
Participant 4,"2, 4, 5, 20","1, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21",1.0,142.50799999999998,"4, 8, 9","1, 2, 3, 5, 6, 7, 10, 11",2.0,68.03200000000001,"1, 7, 8, 9","2, 3, 4, 5, 6, 10, 11, 12, 13, 14",2.0,24.935000000000002,"1, 5, 6, 7","2, 3, 4, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",4.0,82.865,"2, 3, 4","1, 5",4.0,67.768,"17, 19","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29",3.0,105.523,B,5,5
Participant 5,"3, 4, 6, 11, 15, 20","1, 2, 5, 7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 21",2.0,143.464,"4, 9","1, 2, 3, 5, 6, 7, 8, 10, 11",3.0,22.415999999999997,"6, 7, 9","1, 2, 3, 4, 5, 8, 10, 11, 12, 13, 14",3.0,12.536000000000001,"4, 6, 25","1, 2, 3, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26",2.0,165.257,"3, 4","1, 2, 5",3.0,46.184,"5, 14, 17, 26, 27","1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 28, 29",3.0,65.43199999999999,B,4,3
Participant 6,"2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 15, 20","1, 7, 8, 14, 16, 17, 18, 19, 21",2.0,97.63799999999999,"4, 8, 9","1, 2, 3, 5, 6, 7, 10, 11",2.0,223.01899999999998,"1, 6, 7, 9","2, 3, 4, 5, 8, 10, 11, 12, 13, 14",2.0,89.649,"5, 6, 7, 16, 17, 18, 19, 20, 21, 22","1, 2, 3, 4, 8, 9, 10, 11, 12, 13, 14, 15, 23, 24, 25, 26",2.0,121.32,"2, 3, 4","1, 5",2.0,179.88299999999998,"1, 13, 14, 15, 17, 19, 20, 21, 22, 26, 27","2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 16, 18, 23, 24, 25, 28, 29",2.0,233.853,B,3,3
Participant 7,"4, 8, 9","1, 2, 3, 5, 6, 7, 10, 11",4.0,108.849,9,"1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14",2.0,100.66499999999999,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23",2.0,48.992999999999995,19,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29",1.0,245.865,"7, 17, 18, 19, 20, 21, 22","1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 23, 24, 25, 26",4.0,161.793,,"1, 2, 3, 4, 5",4.0,22.863,C,3,3
Participant 8,4,"1, 2, 3, 5, 6, 7, 8, 9, 10, 11",3.0,247.654,9,"1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14",3.0,85.736,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23",3.0,62.47999999999999,14,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29",4.0,38.72900000000001,"5, 6, 7, 16","1, 2, 3, 4, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",2.0,161.679,"2, 3, 4","1, 5",2.0,57.525999999999996,C,3,2
Participant 9,4,"1, 2, 3, 5, 6, 7, 8, 9, 10, 11",4.0,21.409000000000006,"1, 8, 9","2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 14",4.0,85.96099999999998,"1, 7, 12, 15, 22","2, 3, 4, 5, 6, 8, 9, 10, 11, 13, 14, 16, 17, 18, 19, 20, 21, 23",2.0,35.615999999999985,"13, 14, 17, 19","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29",3.0,87.54599999999999,"7, 16, 17, 18, 19, 20, 21, 22","1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 23, 24, 25, 26",4.0,1.8160000000000025,"2, 3, 4","1, 5",4.0,22.128,C,4,3
