SID,Group,Scenario,C++,Vul,Accuracy,Time,Confidence
1,L,1,2,3,0.538461538,179.042,4
1,C,2,2,3,0.545454545,200.88,4
1,C,5,2,3,1,130.283,2
1,C,6,2,3,0,278.171,1
1,C,3,2,3,0.416666667,137.452,2
1,L,4,2,3,0.666666667,244.299,4
2,L,1,3,2,0.538461538,223.388,5
2,C,2,3,2,0.52173913,116.09,3
2,C,5,3,2,0,172.593,4
2,C,6,3,2,0,74.487,4
2,C,3,3,2,0.333333333,92.33,4
2,L,4,3,2,0.666666667,252.332,4
3,L,1,4,3,0.518518519,216.588,2
3,C,2,4,3,0.533333333,159.874,2
3,C,5,4,3,1,209.906,3
3,C,6,4,3,0,234.084,4
3,C,3,4,3,0.454545455,88.98,4
3,L,4,4,3,0.375,186.98,4
4,L,1,2,2,0.583333333,261.162,4
4,C,2,2,2,0.6,118.513,4
4,C,5,2,2,0,256.697,5
4,C,6,2,2,0,120.544,4
4,C,3,2,2,0.3125,281.933,3
4,L,4,2,2,0.461538462,238.344,4
5,L,2,5,5,0.545454545,142.508,1
5,C,5,5,5,0,68.032,2
5,C,1,5,5,0.583333333,24.935,2
5,C,4,5,5,0.428571429,82.865,4
5,L,6,5,5,0,67.768,4
5,L,3,5,5,0.416666667,105.523,3
6,L,2,4,3,0.571428571,143.464,2
6,C,5,4,3,0,22.416,3
6,C,1,4,3,0.56,12.536,3
6,C,4,4,3,0.4,165.257,2
6,L,6,4,3,0,46.184,3
6,L,3,4,3,0.454545455,65.432,3
7,L,2,3,3,0.666666667,97.638,2
7,C,5,3,3,0,223.019,2
7,C,1,3,3,0.583333333,89.649,2
7,C,4,3,3,0.5,121.32,2
7,L,6,3,3,0,179.883,2
7,L,3,3,3,0.333333333,233.853,2
8,L,5,3,3,0,108.849,4
8,L,1,3,3,0.518518519,100.665,2
8,C,2,3,3,0.5,48.993,2
8,C,3,3,3,0.454545455,245.865,1
8,L,4,3,3,0.666666667,161.793,4
8,C,6,3,3,1,22.863,4
9,L,5,3,2,0,247.654,3
9,L,1,3,2,0.518518519,85.736,3
9,C,2,3,2,0.5,62.48,3
9,C,3,3,2,0.454545455,38.729,4
9,L,4,3,2,0.375,161.679,2
9,C,6,3,2,0,57.526,2
10,L,5,4,3,0,21.409,4
10,L,1,4,3,0.56,85.961,4
10,C,2,4,3,0.558139535,35.616,2
10,C,3,4,3,0.357142857,87.546,3
10,L,4,4,3,0.6,1.816,4
10,C,6,4,3,0,22.128,4
11,L,5,3,2,0,241.441,2
11,L,1,3,2,0.538461538,313.592,2
11,C,2,3,2,0.545454545,289.484,3
11,C,3,3,2,0.625,279.706,2
11,L,4,3,2,0.545454545,15.439,2
11,C,6,3,2,0,184.979,2
12,L,5,4,3,0,133.608,3
12,L,1,4,3,0.538461538,151.321,2
12,C,2,4,3,0.545454545,235.593,2
12,C,3,4,3,0.416666667,234.371,2
12,L,4,4,3,0.428571429,176.335,4
12,C,6,4,3,0,31.226,3
13,C,6,4,2,1,272.385,4
13,C,4,4,2,0.375,274.024,3
13,L,3,4,2,0.5,168.4,2
13,L,2,4,2,0.545454545,180.208,3
13,C,1,4,2,0.518518519,174.291,3
13,L,5,4,2,0,132.961,4
14,C,6,2,3,1,202.314,2
14,C,4,2,3,0.4,296.609,2
14,L,3,2,3,0.384615385,185.257,2
14,L,2,2,3,0.585365854,189.793,2
14,C,1,2,3,0.538461538,171.137,2
14,L,5,2,3,1,228.04,2
15,C,6,4,3,1,129.104,4
15,C,4,4,3,0.4,272.911,5
15,L,3,4,3,0.454545455,28.001,4
15,L,2,4,3,0.545454545,156.868,5
15,C,1,4,3,0.608695652,10.968,5
15,L,5,4,3,0,294.331,4
16,C,3,3,4,0.333333333,246.127,3
16,L,6,3,4,0,102.823,4
16,L,4,3,4,0.666666667,178.717,3
16,L,1,3,4,0.518518519,14.097,3
16,C,5,3,4,1,2.369,4
16,C,2,3,4,0.5,115.63,3
17,C,3,3,2,0.555555556,178.773,1
17,L,6,3,2,0,361.035,2
17,L,4,3,2,0.428571429,367.414,3
17,L,1,3,2,0.538461538,220.706,2
17,C,5,3,2,0,37.534,4
17,C,2,3,2,0.5,109.908,2
18,C,3,3,2,0.416666667,181.162,3
18,L,6,3,2,0,181.384,3
18,L,4,3,2,0.545454545,189.408,4
18,L,1,3,2,0.518518519,221.186,4
18,C,5,3,2,0,71.447,4
18,C,2,3,2,0.5,42.656,4
19,C,3,4,3,0.416666667,78.648,4
19,L,6,4,3,0,195.665,3
19,L,4,4,3,0.428571429,270.185,3
19,L,1,4,3,0.56,240.213,3
19,C,5,4,3,0,148.881,3
19,C,2,4,3,0.5,56.192,3
20,C,3,3,3,0.5,141.296,3
20,L,6,3,3,0,171.265,3
20,L,4,3,3,0.461538462,36.76,3
20,L,1,3,3,0.538461538,162.8,2
20,C,5,3,3,0,8.953,2
20,C,2,3,3,0.5,144.401,2
21,C,4,2,2,0.428571429,116.994,3
21,L,3,2,2,0.5,142.52,2
21,L,6,2,2,1,79.28,4
21,L,5,2,2,1,102.152,1
21,L,2,2,2,0.5,160.861,1
21,C,1,2,2,0.5,1.904,4
22,C,4,3,3,0.4,171.137,3
22,L,3,3,3,0.5,228.473,3
22,L,6,3,3,0,122.872,4
22,L,5,3,3,0,187.219,4
22,L,2,3,3,0.5,126.489,4
22,C,1,3,3,0.538461538,118.129,3
23,C,4,2,2,0.428571429,94.175,3
23,L,3,2,2,0.5,16.76,3
23,L,6,2,2,0,124.461,3
23,L,5,2,2,0,28.355,3
23,L,2,2,2,0.545454545,49.145,3
